13:10:03	1	LOGIN	Player login	IP: 82.46.65.201, UID: 0169a886c3500458522e41c9, Membership: RECURRING_MEMBER, Trial: EX_TRIALLIST, Quest Points: 382, Account Age: 535 Days 18:37.09, Language: English, Client Type: NXT_WINDOWS, Wealth: 6290620123, JMod Level: 0, PMod Level: 0, Display Name: Redhen, TOTP Enabled: true, Authenticate TOTP Response Code: null, Authenticate Pass code response: OK
13:10:03	1	WINDOW_STATUS_CHANGE	Window Status Changed	Window Mode: Resizable, Size: 958x961, AA: 0
13:10:03	1	COORD_CHANGE	Player changed their coordinate	1,34,51,47,35
13:10:03	1	CLIENT_OPTIONS_CHANGE	Player changed their client detail options	TODO
13:10:04	1200	CAMERA_CHANGE	Camera status changed	X Angle: 247, Y Angle: 7
13:10:04	700	NATIVE_MOUSE_MOVEMENT	Mouse moved (native)	Contains 18 movements: 700: 811,32 701: 820,33 702: 829,34 703: 839,35 704: 848,36 705: 856,37 706: 866,38 707: 875,41 708: 882,41 709: 891,42 710: 901,44 711: 910,45 712: 920,46 713: 929,47 714: 940,48 715: 949,49 716: 959,50 717: 970,51
13:10:05	2400	MAP_BUILD_COMPLETE	Map Build Complete	Build Zone: 1,34,51,40,32, took 4 cycles (1848ms)
13:10:07	4480	NATIVE_MOUSE_MOVEMENT	Mouse moved (native)	Contains 3 movements: 4480: 974,96 4481: 973,97 4482: 972,97
13:10:07	4503	NATIVE_MOUSE_MOVEMENT	Mouse moved (native)	Contains 7 movements: 4503: 971,98 4505: 971,99 4507: 970,99 4509: 969,99 4511: 968,99 4513: 968,100 4515: 967,100
13:10:11	8052	NATIVE_MOUSE_CLICK	Mouse button clicked (native)	LEFT coordinate: 967,100
13:10:07	4294	SERVER_TRIGGER	Player triggered some server behaviour	IF_BUTTON1 on toplevel_v2: five_min_warning_message_listener
13:10:08	4695	FRIEND_SERVER_LOGIN	Friend Server Login	354 Friends and 0 Ignores
13:10:09	6435	NATIVE_MOUSE_MOVEMENT	Mouse moved (native)	Contains 80 movements: 6435: 665,290 6436: 663,290 6437: 661,290 6438: 659,291 6439: 658,291 6440: 657,291 6441: 654,291 6442: 653,291 6443: 651,292 6444: 649,292 6455: 647,293 6456: 645,293 6457: 643,293 6458: 642,293 6459: 640,293 6460: 638,294 6461: 636,294 6462: 634,294 6463: 632,295 6464: 631,295 6465: 628,295 6466: 626,296 6467: 624,296 6468: 623,296 6469: 621,296 6470: 619,296 6471: 617,296 6472: 615,297 6473: 614,297 6474: 612,297 6475: 610,297 6476: 608,298 6477: 607,298 6478: 605,298 6479: 603,298 6480: 601,298 6481: 600,298 6482: 599,298 6483: 597,298 6484: 595,298 6485: 594,299 6486: 592,299 6487: 590,299 6488: 589,299 6489: 587,299 6490: 586,299 6491: 585,299 6492: 583,299 6493: 582,300 6494: 581,300 6495: 579,300 6496: 578,300 6497: 577,300 6498: 575,300 6499: 574,300 6500: 573,300 6501: 572,300 6502: 571,300 6503: 570,300 6504: 569,300 6505: 568,300 6506: 567,300 6507: 566,300 6508: 565,300 6509: 564,300 6510: 563,300 6511: 561,300 6512: 560,300 6513: 559,300 6514: 558,300 6515: 557,300 6516: 556,300 6517: 555,300 6518: 554,300 6519: 553,300 6520: 552,299 6521: 551,299 6522: 550,299 6523: 549,299 6524: 549,298
13:10:10	6548	NATIVE_MOUSE_MOVEMENT	Mouse moved (native)	Contains 5 movements: 6548: 548,298 6549: 547,297 6550: 546,297 6551: 545,297 6552: 545,296
13:10:13	9852	NATIVE_MOUSE_CLICK	Mouse button clicked (native)	LEFT coordinate: 545,296
13:10:09	6001	WINDOW_FOCUS	Window focus changed	Focussed
13:10:17	13587	MOUSE_MOVEMENT	Mouse moved	Contains 1 movements: 13587: 883,111
13:10:10	6601	WINDOW_FOCUS	Window focus changed	Unfocussed
13:10:10	6590	NATIVE_MOUSE_MOVEMENT	Mouse moved (native)	Contains 59 movements: 6590: 942,121 6592: 943,121 6594: 943,120 6596: 944,120 6598: 945,119 6600: 946,119 6602: 946,118 6604: 947,118 6606: 948,117 6608: 949,117 6610: 950,116 6612: 950,115 6614: 951,115 6616: 951,114 6618: 952,114 6620: 953,113 6622: 954,113 6624: 954,112 6626: 954,111 6628: 955,111 6630: 955,110 6632: 956,110 6654: 956,109 6676: 957,109 6678: 957,108 6680: 958,108 6682: 958,107 6684: 958,106 6686: 959,106 6688: 959,105 6690: 960,105 6692: 960,104 6694: 960,103 6696: 961,102 6698: 962,102 6700: 962,101 6702: 962,100 6704: 963,99 6706: 963,98 6708: 964,98 6710: 964,97 6712: 964,96 6714: 965,96 6716: 965,95 6718: 966,95 6720: 966,94 6722: 967,94 6724: 967,93 6726: 968,93 6728: 968,92 6730: 968,91 6732: 969,91 6734: 970,91 6736: 970,90 6738: 971,90 6740: 972,89 6742: 973,89 6744: 973,88 6746: 974,88
13:10:17	13593	MOUSE_MOVEMENT	Mouse moved	Contains 25 movements: 13593: 896,107 13599: 905,102 13605: 914,99 13611: 922,95 13617: 929,92 13623: 934,90 13629: 937,88 13635: 941,86 13641: 943,83 13647: 945,82 13653: 946,80 13659: 947,80 13665: 947,79 13671: 948,79 13697: 948,78 13723: 949,78 13729: 949,77 13735: 950,76 13741: 951,75 13747: 951,74 13753: 952,72 13759: 953,71 13765: 954,70 13771: 955,68 13777: 956,66
13:10:23	20448	SERVER_TRIGGER	Player triggered some server behaviour	IF_BUTTON1 on toplevel_v2: five_min_warning_message_listener
13:10:33	30067	SERVER_TRIGGER	Player triggered some server behaviour	IF_BUTTON1 on toplevel_v2: five_min_warning_message_listener
13:10:40	37295	NATIVE_MOUSE_MOVEMENT	Mouse moved (native)	Contains 11 movements: 37295: 967,478 37296: 959,479 37297: 952,480 37298: 942,480 37299: 933,481 37300: 924,482 37301: 914,483 37302: 906,483 37303: 897,484 37304: 887,485 37305: 878,486
13:10:47	44358	MOUSE_MOVEMENT	Mouse moved	Contains 1 movements: 44358: 827,459
13:10:47	44389	MOUSE_MOVEMENT	Mouse moved	Contains 11 movements: 44389: 618,478 44420: 496,459 44451: 441,446 44462: 439,446 44493: 430,443 44524: 435,452 44555: 448,477 44586: 456,494 44617: 454,498 44648: 451,499 44719: 451,498
13:10:40	37207	MOUSE_CLICK	Mouse button clicked	LEFT coordinate: 451,498
